
Each sample represents 0.02 seconds.
Total run time: 0.76 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %        self
 total    seconds     self    seconds    name
  81.6      0.62       0.0      0.00     "D_Jost"
  81.6      0.62       0.0      0.00     "lapply"
  79.0      0.60      10.5      0.08     "FUN"
  76.3      0.58       0.0      0.00     "sapply"
  76.3      0.58       0.0      0.00     "t"
  57.9      0.44       0.0      0.00     "makefreq"
  42.1      0.32       0.0      0.00     "apply"
  39.5      0.30      10.5      0.08     "tapply"
  39.5      0.30       0.0      0.00     "is.vector"
  34.2      0.26       0.0      0.00     "is.genpop"
  28.9      0.22       0.0      0.00     "genind2genpop"
  28.9      0.22       0.0      0.00     "is"
  21.1      0.16       2.6      0.02     "split"
  21.1      0.16       0.0      0.00     "factor"
  21.1      0.16       0.0      0.00     "standardGeneric"
  18.4      0.14       0.0      0.00     ".completeToken"
  18.4      0.14       0.0      0.00     ".local"
  18.4      0.14       0.0      0.00     "seploc"
  18.4      0.14       0.0      0.00     "split.default"
  15.8      0.12       2.6      0.02     "unlist"
  13.2      0.10       5.3      0.04     "match"
  13.2      0.10       0.0      0.00     "validObject"
  10.5      0.08       2.6      0.02     "deparse"
  10.5      0.08       2.6      0.02     "sort.list"
  10.5      0.08       0.0      0.00     "normalCompletions"
   7.9      0.06       7.9      0.06     "ls"
   7.9      0.06       5.3      0.04     "gsub"
   7.9      0.06       2.6      0.02     "tryCatchList"
   7.9      0.06       2.6      0.02     "unique"
   7.9      0.06       0.0      0.00     "%in%"
   7.9      0.06       0.0      0.00     "anyStrings"
   7.9      0.06       0.0      0.00     "apropos"
   7.9      0.06       0.0      0.00     "as"
   7.9      0.06       0.0      0.00     "eval"
   7.9      0.06       0.0      0.00     "identical"
   7.9      0.06       0.0      0.00     "is.genind"
   7.9      0.06       0.0      0.00     "match.arg"
   7.9      0.06       0.0      0.00     "tryCatch"
   7.9      0.06       0.0      0.00     "validityMethod"
   5.3      0.04       5.3      0.04     "array"
   5.3      0.04       5.3      0.04     "as.character"
   5.3      0.04       5.3      0.04     "lazyLoadDBfetch"
   5.3      0.04       2.6      0.02     "@<-"
   5.3      0.04       2.6      0.02     "doTryCatch"
   5.3      0.04       0.0      0.00     ".asCoerceMethod"
   5.3      0.04       0.0      0.00     ".genlab"
   5.3      0.04       0.0      0.00     "functionArgs"
   5.3      0.04       0.0      0.00     "harmonic_mean"
   5.3      0.04       0.0      0.00     "makeRegexpSafe"
   5.3      0.04       0.0      0.00     "ncol"
   5.3      0.04       0.0      0.00     "sprintf"
   5.3      0.04       0.0      0.00     "try"
   5.3      0.04       0.0      0.00     "tryCatchOne"
   2.6      0.02       2.6      0.02     "!"
   2.6      0.02       2.6      0.02     ".identC"
   2.6      0.02       2.6      0.02     "gregexpr"
   2.6      0.02       2.6      0.02     "is.object"
   2.6      0.02       2.6      0.02     "loadMethod"
   2.6      0.02       2.6      0.02     "mode"
   2.6      0.02       2.6      0.02     "names"
   2.6      0.02       2.6      0.02     "rownames<-"
   2.6      0.02       2.6      0.02     "sum"
   2.6      0.02       0.0      0.00     ".deparseOpts"
   2.6      0.02       0.0      0.00     ".gen.valid"
   2.6      0.02       0.0      0.00     "<Anonymous>"
   2.6      0.02       0.0      0.00     "as.factor"
   2.6      0.02       0.0      0.00     "checkSlotAssignment"
   2.6      0.02       0.0      0.00     "do.call"
   2.6      0.02       0.0      0.00     "find"
   2.6      0.02       0.0      0.00     "genpop"
   2.6      0.02       0.0      0.00     "grep"
   2.6      0.02       0.0      0.00     "initialize"
   2.6      0.02       0.0      0.00     "keywordCompletions"
   2.6      0.02       0.0      0.00     "methods"
   2.6      0.02       0.0      0.00     "new"
   2.6      0.02       0.0      0.00     "simplify2array"
   2.6      0.02       0.0      0.00     "slot<-"
   2.6      0.02       0.0      0.00     "stopifnot"
   2.6      0.02       0.0      0.00     "table"
   2.6      0.02       0.0      0.00     "tail.default"


   %        self       %      total
  self    seconds    total   seconds    name
  10.5      0.08      79.0      0.60     "FUN"
  10.5      0.08      39.5      0.30     "tapply"
   7.9      0.06       7.9      0.06     "ls"
   5.3      0.04      13.2      0.10     "match"
   5.3      0.04       7.9      0.06     "gsub"
   5.3      0.04       5.3      0.04     "array"
   5.3      0.04       5.3      0.04     "as.character"
   5.3      0.04       5.3      0.04     "lazyLoadDBfetch"
   2.6      0.02      21.1      0.16     "split"
   2.6      0.02      15.8      0.12     "unlist"
   2.6      0.02      10.5      0.08     "deparse"
   2.6      0.02      10.5      0.08     "sort.list"
   2.6      0.02       7.9      0.06     "tryCatchList"
   2.6      0.02       7.9      0.06     "unique"
   2.6      0.02       5.3      0.04     "@<-"
   2.6      0.02       5.3      0.04     "doTryCatch"
   2.6      0.02       2.6      0.02     "!"
   2.6      0.02       2.6      0.02     ".identC"
   2.6      0.02       2.6      0.02     "gregexpr"
   2.6      0.02       2.6      0.02     "is.object"
   2.6      0.02       2.6      0.02     "loadMethod"
   2.6      0.02       2.6      0.02     "mode"
   2.6      0.02       2.6      0.02     "names"
   2.6      0.02       2.6      0.02     "rownames<-"
   2.6      0.02       2.6      0.02     "sum"
